nome,data,horario,etiquetas
Leilão Virtual Naviraí 60 anos - 1ª Etapa,29/10/2025,20:00,Nelore PO,Elite,Macho,Gordo
Leilão Touros Rodeio PBR,29/10/2025,20:00,Touros de Rodeio,Elite,Macho,Carlota, Bruno
LIVE - Apresentação dos animais Fazenda Ressaca - Matrizes,29/10/2025,20:00,Nelore PO,Elite,Fêmea,Gordo, Mini
Leilão Virtual Muares de Patrão,29/10/2025,19:30,Muarez,Elite,Macho e Fêmea,Criar
3º Leilão Virtual Matrizes SantaFé e Convidados ,29/10/2025,19:00,Nelore PO,Produção,,Follador
Leilão Virtual Naviraí 60 anos - 2ª Etapa,30/10/2025,20:00,Nelore PO,Elite,,Gordo
7º Leilão Leite Oeste Bahia,30/10/2025,20:00,Girolando,Produção,,Arley, Follador
Leilão Virtual CTM Working,30/10/2025,19:30,Quarto de Milha,Elite,,Criar
Leilão Virtual Rincon Rocks,30/10/2025,19:00,Angus/Brangus, Ultrablack,Produção,,Kauê
Leilão Aliança - Nelore HC, SR e Convidados,30/10/2025,19:00,Nelore PO,Elite,,Flavinho
1º Leilão Amigos do Gladiador,31/10/2025,19:00,Quarto de Milha,Elite,,Criar
LIVE - Apresentação dos animais Fazenda Ressaca - Touros,31/10/2025,20:00,Nelore PO,Elite,,Gordo
Leilão 100%Vaquejada,31/10/2025,19:00,Quarto de Milha,Elite,,Criar
Leilão Aliança - Nelore HC, SR e Convidados.,31/10/2025,19:00,Nelore PO,Produção,,Flavinho
Leilão Aliança - Nelore HC, SR e Convidados,,01/11/2025,12:00,Nelore PO,,,Flavinho
Leilão Virtual Fazenda Ressaca - Fêmeas ,01/11/2025,09:00,Nelore PO,Elite,,Gordo
Dia de Campo e Leillão Nelore Cedro,01/11/2025,12:00,Mocho, Nelore PO,Produção,,Antonio
Leilão Genética Aditiva Expogenética MS,01/11/2025,13:00,Nelore PO,Elite,,Carlota
Leilão Kafe Ranch,01/11/2025,18:00,Quarto de Milha,Elite,,Criar
Leilão Virtual Agronegócios Pezzuol,01/11/2025,14:00,Girolando,Produção,,Paulinho
4º Leilão Virtual Gir Leiteiro F2 MatterAgro & Convidados,01/11/2025,13:00,Gir Leiteiro,Produção,,Arley
Leilão Virtual Fazenda Ressaca - Touros,02/11/2025,09:00,Nelore PO,Elite,,Gordo
132º Programa de Domingo - Programa e Soma Leilões,02/11/2025,13:00,Gado de Corte,Gado de Corte,,Magella
18º Leilão Nelore Kito Genética de Raízes - Matrizes,02/11/2025,09:00,Nelore PO,Elite,,Gordo
1º Leilão MBS Horses Business,02/11/2025,13:00,Quarto de Milha,Elite,,Criar
Leilão Virtual Equipamentos do Lacticínio Fazenda Botelho,02/11/2025,10:00,Maquinários/Implemntos,Maquinários/Implementos,,Paulinho
Leilão Virtual FP Milk Special São Pedro Agropecuária,02/11/2025,14:00,Girolando, Gir Leiteiro,Produção,,Arley
1º Leilão Matrizes Nelore do Coração & Convidados,03/11/2025,20:00,Nelore PO,Produção,,Carlota
1º Leilão Nelore Toscana - Expoferr 2025,04/11/2025,20:00,Nelore PO,Produção,,Maurício
2º Leilão Virtual Select Show,04/11/2025,20:00,Quarto de Milha,Elite,,Criar
Leilão Virtual Gir Leiteiro RC Genética,04/11/2025,20:00,Gir Leiteiro,Produção,,Arley
26º Leilão Virtual Pecuária Martendal e Convidados - 1ª Etapa,04/11/2025,20:00,Nelore PO,Produção,,Maurício, Gordo
Leilão Virtual Elite Lucente - Especial 25 Anos,04/11/2025,19:00,Nelore PO,Produção,,Flavinho
Leilão Jóias do Chicão - Edição Roraima,05/11/2025,20:00,Nelore PO,Produção,,Maurício
